id,epigraph,district,barrio,state
10000412,561004,01,103,Abierto
10000413,563002,01,103,Abierto
10000415,561006,01,101,Abierto
10000422,852001,01,101,Abierto
10000434,472201,01,102,Abierto
10000441,750002,01,102,Abierto
10000442,561001,01,102,Abierto
10000451,472601,01,104,Abierto
10000455,561005,01,106,Abierto
10000462,472904,01,106,Abierto
10000463,563005,01,106,Abierto
10000468,870001,01,105,Abierto
10000473,561004,01,104,Abierto
10000476,561005,01,102,Abierto
10000478,551001,01,103,Abierto
10000481,561006,01,101,Abierto
10000487,559003,01,104,Abierto
10000502,561002,01,103,Abierto
10000503,477101,01,106,Abierto
10000511,561006,01,101,Abierto
10000517,561005,01,101,Abierto
10000530,561004,01,106,Abierto
10000533,931002,01,106,Baja Reunificación
10000534,561001,01,103,Abierto
10000591,472407,01,105,Abierto
10000684,562902,01,101,Abierto
10000687,472911,01,103,Abierto
10000695,561004,01,105,Abierto
10000700,561001,01,103,Abierto
10000708,561005,01,106,Abierto
10000710,561004,01,102,Abierto
10000743,851001,01,102,Abierto
10000744,851001,01,102,Abierto
10000747,472302,01,102,Cerrado
10000761,472404,01,102,Abierto
10000764,472404,01,102,Cerrado
10000770,472406,01,105,Abierto
10000775,476101,01,106,Abierto
10000804,561005,01,106,Abierto
10000807,561004,01,103,Abierto
10000825,471104,01,104,Abierto
10000834,855002,01,105,Abierto
10000835,563005,01,101,Abierto
10000838,563002,01,101,Abierto
10000845,561004,01,101,Abierto
10000854,472102,01,102,Abierto
10000868,561001,01,105,Abierto
10000869,472403,01,103,Abierto
10000876,561004,01,106,Abierto
10000877,477602,01,102,Abierto
10000889,561007,01,102,Abierto
10000894,477602,01,102,Baja Reunificación
10000895,561001,01,106,Abierto
10000912,960205,01,106,Cerrado
10000915,561001,01,104,Abierto
10000917,561004,01,106,Abierto
10000927,477701,01,102,Cerrado
10000938,561004,01,104,Baja Reunificación
10000952,477101,01,104,Abierto
10000959,561004,01,104,Abierto
10000960,561006,01,106,Abierto
10000961,561001,01,103,Baja Reunificación
10000964,477101,01,106,Abierto
10000966,931009,01,102,Abierto
10000968,477201,01,104,Abierto
10000973,477201,01,106,Abierto
10000977,561006,01,104,Abierto
10000982,561006,01,101,Cerrado
10000991,472102,01,104,Abierto
10000994,561001,01,103,Cerrado
10000999,476403,01,105,Abierto
10001014,PTECO1,02,202,Baja Reunificación
10001020,561006,01,101,Abierto
10001038,477501,01,105,Abierto
10001040,561001,01,101,Abierto
10001042,477701,01,101,Abierto
10001043,471101,01,105,Abierto
10001052,476101,02,202,Baja Reunificación
10001057,561004,01,102,Abierto
10001062,561004,01,103,Abierto
10001064,000000,01,102,Cerrado
10001095,477601,01,105,Abierto
10001107,563005,01,101,Abierto
10001109,750002,01,101,Abierto
10001115,477101,01,105,Abierto
10001116,477201,01,105,Abierto
10001120,477101,01,104,Abierto
10001122,477101,01,104,Abierto
10001123,477101,01,104,Abierto
10001127,561002,01,101,Abierto
10001133,471101,01,101,Abierto
10001141,472402,01,106,Abierto
10001147,900003,01,103,Abierto
10001160,461801,01,106,Abierto
10001163,561006,01,106,Abierto
10001164,561005,01,106,Abierto
10001166,561004,01,106,Abierto
10001169,477101,01,105,Abierto
10001171,561004,01,106,Abierto
10001178,960201,01,102,Abierto
10001180,561002,01,106,Abierto
10001188,472902,01,104,Abierto
10001189,477501,01,102,Abierto
10001191,477101,01,104,Abierto
10001198,561006,01,103,Baja Reunificación
10001199,472601,01,101,Baja Reunificación
10001207,931003,01,106,Abierto
10001210,561001,01,106,Abierto
10001215,477501,01,104,Abierto
10001216,561001,01,103,Abierto
10001227,471104,01,106,Abierto
10001233,561001,01,106,Abierto
10001234,881001,01,105,Abierto
10001237,561004,01,104,Abierto
10001238,562903,01,105,Cerrado
10001246,475101,01,105,Abierto
10001249,561001,01,102,Baja Reunificación
10001253,551003,01,105,Abierto
10001288,PTECO1,01,105,Baja Reunificación
10001291,475901,01,104,Abierto
10001293,561001,01,106,Abierto
10001299,562902,01,105,Cerrado
10001300,561001,01,104,Abierto
10001318,477201,01,106,Abierto
10001319,561002,01,106,Abierto
10001327,471103,01,106,Abierto
10001328,561005,01,106,Abierto
10001330,477101,01,104,Abierto
10001335,471101,01,105,Cerrado
10001336,561004,01,104,Abierto
10001350,471902,01,103,Abierto
10001351,960101,01,104,Abierto
10001358,641001,01,103,Abierto
10001366,551001,01,106,Abierto
10001369,561001,01,105,Abierto
10001370,561006,01,105,Abierto
10001376,561004,01,101,Abierto
10001382,551001,01,106,Abierto
10001386,559002,01,105,Abierto
10001387,552001,01,101,Abierto
10001389,551003,01,106,Abierto
10001407,561006,01,103,Abierto
10001409,561005,01,103,Cerrado
10001412,563005,01,106,Abierto
10001414,889002,01,105,Abierto
10001415,561004,01,104,Abierto
10001418,561001,01,105,Abierto
10001419,472911,01,105,Abierto
10001421,561004,01,105,Abierto
10001422,471101,01,101,Abierto
10001429,561001,01,103,Abierto
10001430,472901,01,101,Abierto
10001447,471104,01,106,Abierto
10001456,730001,01,106,Baja
10001474,561006,01,104,Abierto
10001487,471902,01,106,Abierto
10001494,551001,01,106,Abierto
10001496,477101,01,102,Abierto
10001497,561004,01,105,Abierto
10001502,551001,01,106,Abierto
10001504,561001,01,104,Abierto
10001507,561004,01,106,Abierto
10001510,960401,01,103,Abierto
10001515,551001,01,105,Abierto
10001520,661002,01,106,Abierto
10001523,471101,01,105,Abierto
10001531,561006,01,101,Abierto
10001539,920002,01,106,Abierto
10001542,561001,01,103,Abierto
10001545,561001,01,103,Abierto
10001547,561001,01,103,Abierto
10001550,561004,01,103,Abierto
10001564,561004,01,103,Abierto
10001566,821001,01,102,Abierto
10001567,471103,01,105,Abierto
10001569,559001,01,101,Abierto
10001570,522003,01,101,Abierto
10001571,471101,01,102,Abierto
10001572,610001,01,102,Abierto
10001573,862003,01,104,Abierto
10001574,461701,01,104,Abierto
10001582,477101,01,105,Abierto
10001585,452002,01,102,Abierto
10001586,472910,01,104,Abierto
10001597,561002,01,104,Abierto
10001603,471101,01,102,Abierto
10001611,471101,01,102,Abierto
10001612,561006,01,102,Abierto
10001615,472407,01,105,Abierto
10001617,561001,01,103,Abierto
10001621,477101,01,104,Abierto
10001626,472302,01,104,Abierto
10001627,472911,01,105,Abierto
10001629,472206,01,105,Abierto
10001630,477101,01,106,Abierto
10001633,477808,01,106,Abierto
10001636,561001,01,102,Abierto
10001639,477401,01,106,Abierto
10001645,472201,01,102,Abierto
10001647,561004,01,101,Abierto
10001648,561001,01,102,Abierto
10001651,561006,01,103,Abierto
10001656,472402,01,106,Abierto
10001661,477701,01,103,Cerrado
10001662,561002,01,103,Abierto
10001663,561001,01,102,Abierto
10001665,471101,01,102,Cerrado
10001668,390001,01,103,Abierto
10001671,561002,04,401,Abierto
10001672,472407,01,106,Abierto
10001681,472911,01,104,Abierto
10001682,561006,01,105,Abierto
10001683,471101,01,102,Abierto
10001686,561006,01,101,Abierto
10001689,477101,01,104,Abierto
10001691,471102,01,106,Abierto
10001692,561006,01,103,Abierto
10001696,960901,01,105,Abierto
10001697,472906,01,102,Abierto
10001698,472207,01,105,Abierto
10001699,561004,01,106,Abierto
10001701,730001,01,106,Abierto
10001710,477602,01,102,Abierto
10001714,960901,01,106,Abierto
10001718,477101,01,105,Abierto
10001720,472402,01,101,Abierto
10001732,561005,01,105,Abierto
10001736,477101,01,106,Abierto
10001737,960201,01,101,Abierto
10001739,960201,01,105,Abierto
10001746,471902,01,104,Abierto
10001748,610002,01,102,Abierto
10001749,472302,01,104,Abierto
10001751,561006,01,102,Abierto
10001753,561001,01,106,Abierto
10001754,551001,01,103,Abierto
10001775,472102,01,105,Abierto
10001782,471901,01,102,Abierto
10001786,561001,01,101,Abierto
10001791,522001,01,104,Abierto
10001793,931001,01,106,Abierto
10001794,151001,01,103,Abierto
10001801,477201,01,105,Abierto
10001802,561004,01,105,Abierto
10001805,477101,01,105,Baja Reunificación
10001806,477201,01,105,Abierto
10001808,471104,01,105,Abierto
10001810,477201,01,105,Abierto
10001813,472102,01,101,Abierto
10001817,561002,01,103,Abierto
10001821,551001,01,104,Abierto
10001824,471902,01,106,Abierto
10001826,561005,01,106,Abierto
10001828,477201,01,101,Abierto
10001831,472911,01,101,Abierto
10001834,561004,01,104,Abierto
10001835,561004,01,104,Abierto
10001836,477201,01,101,Abierto
10001837,262001,01,102,Abierto
10001841,561007,01,106,Abierto
10001849,851001,01,102,Abierto
10001856,472401,01,104,Abierto
10001858,960901,01,105,Abierto
10001865,472302,01,101,Abierto
10001869,463601,01,104,Abierto
10001875,821001,01,104,Abierto
10001879,561004,01,102,Abierto
10001880,551001,01,103,Abierto
10001883,562903,01,105,Abierto
10001884,561004,01,103,Abierto
10001889,931008,01,102,Cerrado
10001891,472102,01,102,Abierto
10001898,000000,01,101,Abierto
10001899,561005,01,101,Abierto
10001901,960101,01,105,Abierto
10001903,472407,01,102,Abierto
10001909,472407,01,102,Abierto
10001913,920002,01,106,Abierto
10001915,561006,01,101,Abierto
10001917,561007,01,106,Abierto
10001926,551001,01,103,Abierto
10001927,563005,01,106,Abierto
10001928,551001,01,105,Abierto
10001929,551001,01,106,Abierto
10001930,551002,01,106,Abierto
10001933,561001,01,102,Abierto
10001936,561004,01,106,Abierto
10001940,561001,01,106,Abierto
10001948,471101,01,102,Abierto
10001950,561001,01,106,Abierto
10001951,771001,01,102,Abierto
10001952,552001,01,101,Abierto
10001955,471101,01,105,Abierto
10001957,477101,01,103,Abierto
10001959,551001,01,103,Abierto
10001962,561001,01,106,Abierto
10001966,561001,01,106,Abierto
10001969,472204,01,104,Abierto
10001970,551001,01,101,Abierto
10001980,561006,01,101,Abierto
10001983,561004,01,101,Abierto
10001984,477201,01,106,Abierto
10001987,561004,01,105,Abierto
10001989,561001,01,105,Abierto
10001993,551001,01,106,Abierto
