local_id,change,old,new
70001349,epigraph_changed,561005|07|701|Abierto,561006|07|701|Abierto
70001389,epigraph_changed,561003|07|702|Abierto,561001|07|702|Abierto
70001425,epigraph_changed,472102|07|701|Abierto,561002|07|701|Abierto
70001555,epigraph_changed,472901|07|706|Abierto,472401|07|706|Abierto
70001922,epigraph_changed,931008|07|703|Abierto,561006|07|703|Abierto
70001974,epigraph_changed,561004|07|703|Abierto,561001|07|703|Abierto
70002007,epigraph_changed,561004|07|705|Abierto,561006|07|705|Abierto
70002025,epigraph_changed,960201|07|703|Abierto,960203|07|703|Abierto
70002026,epigraph_changed,960203|07|703|Abierto,960901|07|703|Abierto
70002036,epigraph_changed,472404|07|701|Baja Reunificación,472911|07|701|Baja Reunificación
70002090,epigraph_changed,562902|07|706|Abierto,931002|07|706|Abierto
70002102,epigraph_changed,472202|07|706|Abierto,472911|07|706|Abierto
70002151,epigraph_changed,960201|07|701|Abierto,960203|07|701|Abierto
70002176,epigraph_changed,951001|07|701|Abierto,862002|07|701|Abierto
70002208,epigraph_changed,472102|07|704|Abierto,472911|07|704|Abierto
70002251,epigraph_changed,960201|07|702|Abierto,960203|07|702|Abierto
80000124,epigraph_changed,471902|08|804|Cerrado,471104|08|804|Cerrado
80000444,epigraph_changed,852004|08|806|Abierto,562902|08|806|Abierto
80000507,epigraph_changed,870001|08|808|Abierto,562903|08|808|Abierto
80000526,epigraph_changed,851001|08|804|Abierto,852001|08|804|Abierto
90000096,epigraph_changed,561001|09|902|Abierto,561002|09|902|Abierto
90000116,epigraph_changed,472206|09|902|Abierto,472201|09|902|Abierto
90000141,epigraph_changed,931002|09|901|Abierto,931001|09|901|Abierto
90000145,epigraph_changed,562902|09|901|Abierto,851001|09|901|Abierto
90000150,epigraph_changed,562902|09|905|Abierto,852002|09|905|Abierto
90000278,epigraph_changed,561002|09|902|Abierto,561004|09|902|Abierto
90000312,epigraph_changed,562902|09|903|Abierto,851001|09|903|Abierto
90000347,epigraph_changed,960206|09|902|Abierto,960203|09|902|Abierto
90000638,epigraph_changed,960201|09|904|Abierto,960203|09|904|Abierto
90000804,epigraph_changed,852002|09|907|Abierto,562902|09|907|Abierto
90000806,epigraph_changed,851001|09|906|Abierto,562902|09|906|Abierto
90000814,epigraph_changed,432001|09|903|Abierto,471101|09|903|Abierto
90000927,epigraph_changed,471104|09|902|Abierto,471902|09|902|Abierto
90000929,epigraph_changed,472203|09|907|Abierto,471104|09|907|Abierto
90000964,epigraph_changed,561004|09|901|Abierto,561001|09|901|Abierto
90001013,epigraph_changed,472206|09|907|Abierto,472203|09|907|Abierto
90001036,epigraph_changed,472911|09|901|Abierto,472907|09|901|Abierto
90001041,epigraph_changed,562903|09|904|Abierto,870001|09|904|Abierto
90001047,epigraph_changed,561002|09|901|Abierto,561001|09|901|Abierto
90001072,epigraph_changed,851002|09|903|Abierto,851009|09|903|Abierto
90001076,epigraph_changed,931003|09|906|Abierto,960201|09|906|Abierto
90001116,epigraph_changed,454002|09|901|Abierto,453001|09|901|Abierto
90001248,epigraph_changed,141001|09|904|Abierto,477101|09|904|Abierto
